timestamp,gender,age,occupation,monthly_income,province,skin_type,skin_concerns,acne_severity,influencer_source,skincare_selection,cleansing_selection,use_cleansing_water,cleansing_types_used,main_cleansing_type,cleansing_formula,deep_cleansing_score,acne_friendly_score,sensitive_skin_score,no_irritant_score,hypoallergenic_score,moisturizing_score,low_friction_score,nourishment_score,eye_friendly_score,oil_control_score,switching_factors,brands_used,main_brand,target_kiyora,acne,oily,sensitive,pore,dull,dry,price_sensitive,promo_sensitive,doctor_influence,review_influence,blogger_influence,ads_influence,use_kiyora,use_dermavie,use_veloura,use_florelle,self_decision,friend_influence,doctor_influence2,influencer_influence,use_water,use_oil,use_balm,use_sheet,use_milk,concern_count,acne_score,influence_score,is_price_sensitive,cleansing_variety,skin_type_clean,skin_type_encoded
2022-08-31 16:42:22,0,23-28 ปี,พนักงานบริษัทเอกชน,"35,000 - 39,999 บาท",bangkok,ผิวมัน,"สิวอักเสบ, สิวอุดตัน, ผิวแพ้ง่าย, รูขุมขนกว้าง, ผิวมันเยิ้ม, ผิวหมองคล้ำ",สิวปานกลาง (เป็นสิวอักเสบ/หัวหนองมากกว่า10เม็ด),"เลือกด้วยตนเอง, เลือกตามเพื่อน, ปรึกษาหมอผิวหนัง","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้",ใช้,"cleansing water, cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง)",Cleansing water,สูตรลดสิว-ผิวแพ้ง่าย,1.0,1.0,1.0,1.0,0.5,0.0,0.9999999999999999,0.33333333333333337,0.5,0.5,"ราคาถูกกว่า (cheaper price), เลือกเพราะโปรโมชั่น (promotion), เพื่อนแนะนำ (friend recommended), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (skin expert/dermatologist), มีไซส์เล็ก/ไซส์ทดลอง/ไซส์พกพา (mini size), ยี่ห้อเดิมที่ใช้อยู่หมด/หาซื้อไม่ได้ (current brand is out of stock)",kiyora,kiyora,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,5,2.0,2,2,2,oily,1
2022-08-31 17:30:17,0,23-28 ปี,พนักงานบริษัทเอกชน,"25,000 - 29,999 บาท",bangkok,ผิวแห้ง,"สิวอักเสบ, สิวอุดตัน, สิวผด, ผิวแพ้ง่าย, รูขุมขนกว้าง, ผิวหมองคล้ำ",สิวปานกลาง (เป็นสิวอักเสบ/หัวหนองมากกว่า10เม็ด),ปรึกษาหมอผิวหนัง,"เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้",เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,ใช้,"cleansing water, cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง)",Cleansing water,สูตรผิวแพ้ง่าย,1.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (skin expert/dermatologist),"kiyora, bellevia",kiyora,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,4,2.0,1,0,2,dry,2
2022-08-31 17:34:20,0,29-34 ปี,พนักงานบริษัทเอกชน,"35,000 - 39,999 บาท",bangkok,ผิวธรรมดา,"สิวอุดตัน, รูขุมขนกว้าง","นานๆทีเป็นสิว เช่น มีสิวเฉพาะช่วงมีประจำเดือน, พักผ่อนน้อย","เลือกด้วยตนเอง, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้",เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,ใช้,"cleansing water, cleansing balm",Cleansing water,สูตรผิวแพ้ง่าย,1.0,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.33333333333333337,0.5,0.5,"เห็นคนใช้จริงรีวิว (online review, real users), บิวตี้บลอกเกอร์แนะนำ (beauty bloggers)","kiyora, dermavie",dermavie,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,2,,1,0,2,normal,4
2022-08-31 17:36:27,0,29-34 ปี,พนักงานบริษัทเอกชน,"35,000 - 39,999 บาท",bangkok,ผิวแห้ง,"สิวอุดตัน, สิวผด","นานๆทีเป็นสิว เช่น มีสิวเฉพาะช่วงมีประจำเดือน, พักผ่อนน้อย",เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ,ใช้,"cleansing water, cleansing oil",Cleansing water,"สูตรลดสิว-ผิวแพ้ง่าย, สูตรชุ่มชื้น (สำหรับผิวแห้ง)",1.0,1.0,0.5,1.0,0.5,1.0,0.9999999999999999,0.6666666666666666,1.0,0.75,ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (skin expert/dermatologist),"veloura, aomizu, dermavie",dermavie,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,,1,0,2,dry,2
2022-08-31 17:38:34,0,23-28 ปี,พนักงานบริษัทเอกชน,"25,000 - 29,999 บาท",นนทบุรี,ผิวมัน,"ผิวแพ้ง่าย, รูขุมขนกว้าง, ผิวมันเยิ้ม",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),เลือกด้วยตนเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,ใช้,cleansing water,Cleansing water,สูตรผิวแพ้ง่าย,1.0,0.75,1.0,1.0,1.0,0.5,0.33333333333333337,0.33333333333333337,0.75,0.75,เลือกเพราะโปรโมชั่น (promotion),"veloura, eastern belle, dermavie",eastern belle,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,3,1.0,0,1,1,oily,1
2022-08-31 17:38:48,0,35 ปี ขึ้นไป,พนักงานบริษัทเอกชน,"40,000 บาท ขึ้นไป",bangkok,ไม่แน่ใจ/ไม่ทราบ,"สิวอักเสบ, สิวอุดตัน, ผิวแพ้ง่าย","นานๆทีเป็นสิว เช่น มีสิวเฉพาะช่วงมีประจำเดือน, พักผ่อนน้อย","เลือกด้วยตนเอง, เลือกตามเพื่อน","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ",ใช้,"cleansing water, cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง)",Cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง),"สูตรผิวแพ้ง่าย, สูตรคุมมัน (สำหรับผิวมัน)",1.0,1.0,0.5,0.5,1.0,1.0,0.9999999999999999,0.33333333333333337,0.5,0.75,"เพื่อนแนะนำ (friend recommended), เห็นคนใช้จริงรีวิว (online review, real users), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (skin expert/dermatologist), มีไซส์เล็ก/ไซส์ทดลอง/ไซส์พกพา (mini size)","dr. verin, dermacerin, theria",dermacerin,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,,1,0,2,unknown,0
2022-08-31 17:41:14,0,35 ปี ขึ้นไป,พนักงานบริษัทเอกชน,"40,000 บาท ขึ้นไป",bangkok,ผิวขาดน้ำ,"รูขุมขนกว้าง, ผิวแห้ง/ลอก/เป็นขุย, ผิวหมองคล้ำ","นานๆทีเป็นสิว เช่น มีสิวเฉพาะช่วงมีประจำเดือน, พักผ่อนน้อย","เลือกด้วยตนเอง, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง",เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,ใช้,cleansing water,Cleansing water,สูตรชุ่มชื้น (สำหรับผิวแห้ง),1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,"เลือกเพราะโปรโมชั่น (promotion), สินค้าออกใหม่/สูตรใหม่ (new product/new formula)","florelle, oréline",florelle,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,3,,1,1,1,dry,2
2022-08-31 17:41:39,0,29-34 ปี,พนักงานบริษัทเอกชน,"40,000 บาท ขึ้นไป",bangkok,ผิวผสม,"สิวอักเสบ, สิวอุดตัน, สิวผด, ผิวแพ้ง่าย, รูขุมขนกว้าง",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกด้วยตนเอง, เลือกตามเพื่อน, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ",ใช้,"cleansing water, cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง), cleansing balm",Cleansing water,สูตรผิวแพ้ง่าย,1.0,0.75,1.0,0.0,1.0,0.5,0.9999999999999999,0.33333333333333337,1.0,0.25,"เพื่อนแนะนำ (friend recommended), เห็นคนใช้จริงรีวิว (online review, real users), บิวตี้บลอกเกอร์แนะนำ (beauty bloggers)",dermavie,dermavie,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,3,1.0,2,0,3,combination,3
2022-08-31 17:45:21,0,23-28 ปี,พนักงานบริษัทเอกชน,"25,000 - 29,999 บาท",bangkok,ผิวขาดน้ำ,"สิวอุดตัน, สิวผด, ผิวแพ้ง่าย, รูขุมขนกว้าง, ผิวหมองคล้ำ","นานๆทีเป็นสิว เช่น มีสิวเฉพาะช่วงมีประจำเดือน, พักผ่อนน้อย","เลือกด้วยตนเอง, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง",เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,ใช้,"cleansing water, cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง), cleansing oil",Cleansing water,"สูตรผิวแพ้ง่าย, สูตรชุ่มชื้น (สำหรับผิวแห้ง)",1.0,0.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.33333333333333337,0.75,0.25,"เลือกเพราะโปรโมชั่น (promotion), เห็นคนใช้จริงรีวิว (online review, real users), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (skin expert/dermatologist), สินค้าออกใหม่/สูตรใหม่ (new product/new formula)","veloura, kiyora, dermavie",veloura,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,4,,1,1,3,dry,2
2022-08-31 17:46:03,0,29-34 ปี,พนักงานบริษัทเอกชน,"30,000 - 34,999 บาท",bangkok,ผิวผสม,"สิวอักเสบ, ผิวแพ้ง่าย, ผิวแห้ง/ลอก/เป็นขุย","นานๆทีเป็นสิว เช่น มีสิวเฉพาะช่วงมีประจำเดือน, พักผ่อนน้อย",เลือกด้วยตนเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,"เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ",ใช้,"cleansing water, cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง), cleansing oil, cleansing balm",Cleansing balm,"สูตรผิวแพ้ง่าย, สูตรชุ่มชื้น (สำหรับผิวแห้ง)",1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,0.75,"เห็นจากโฆษณา (ads), บิวตี้บลอกเกอร์แนะนำ (beauty bloggers), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (skin expert/dermatologist), สินค้าออกใหม่/สูตรใหม่ (new product/new formula)","florelle, aomizu, bellevia, dermacerin, dermavie, klinor lab",dermavie,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,3,,0,0,4,combination,3
2022-08-31 17:56:53,0,29-34 ปี,พนักงานบริษัทเอกชน,"20,000 - 24,999 บาท",ฉะเชิงเทรา,ผิวผสม,"สิวอุดตัน, รูขุมขนกว้าง, ผิวแห้ง/ลอก/เป็นขุย","นานๆทีเป็นสิว เช่น มีสิวเฉพาะช่วงมีประจำเดือน, พักผ่อนน้อย",เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,ใช้,"cleansing water, cleansing oil",Cleansing water,"สูตรลดสิว-ผิวแพ้ง่าย, สูตรชุ่มชื้น (สำหรับผิวแห้ง)",1.0,1.0,0.5,0.5,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,"เลือกเพราะโปรโมชั่น (promotion), เห็นคนใช้จริงรีวิว (online review, real users), บิวตี้บลอกเกอร์แนะนำ (beauty bloggers), สินค้าออกใหม่/สูตรใหม่ (new product/new formula), มีไซส์เล็ก/ไซส์ทดลอง/ไซส์พกพา (mini size)","veloura, florelle, kiyora, kireiha, bellevia, luvique, klinor lab",veloura,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,3,,1,1,2,combination,3
2022-08-31 17:57:58,0,29-34 ปี,พนักงานองค์กรระหว่างประเทศ,"25,000 - 29,999 บาท",ฉะเชิงเทรา,ผิวผสม,"สิวอักเสบ, สิวอุดตัน, รูขุมขนกว้าง, ผิวแห้ง/ลอก/เป็นขุย",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกตามเพื่อน, ปรึกษาหมอผิวหนัง","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ",ใช้,"cleansing water, cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง)",Cleansing water,สูตรลดสิว-ผิวแพ้ง่าย,1.0,0.75,0.5,0.5,0.0,0.5,0.6666666666666666,0.33333333333333337,0.75,0.5,"เห็นคนใช้จริงรีวิว (online review, real users), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (skin expert/dermatologist), ยี่ห้อเดิมที่ใช้อยู่หมด/หาซื้อไม่ได้ (current brand is out of stock), ไม่เคยเปลี่ยนแบรนด์เลย (no switching)","florelle, kiyora, bellevia",kiyora,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,3,1.0,2,0,2,combination,3
2022-08-31 18:15:00,0,29-34 ปี,พนักงานบริษัทเอกชน,"35,000 - 39,999 บาท",bangkok,ผิวผสม,"สิวอักเสบ, สิวอุดตัน, สิวผด, ผิวแพ้ง่าย",สิวปานกลาง (เป็นสิวอักเสบ/หัวหนองมากกว่า10เม็ด),"เลือกด้วยตนเอง, เลือกตามเพื่อน, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง",เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,ใช้,"cleansing water, cleansing milk",Cleansing water,"สูตรลดสิว, สูตรลดสิว-ผิวแพ้ง่าย, สูตรผิวแพ้ง่าย",1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.33333333333333337,0.75,0.75,"เห็นคนใช้จริงรีวิว (online review, real users), มีไซส์เล็ก/ไซส์ทดลอง/ไซส์พกพา (mini size)","aomizu, junpure",aomizu,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,2,2.0,2,0,2,combination,3
2022-08-31 18:28:39,0,29-34 ปี,พนักงานบริษัทเอกชน,"40,000 บาท ขึ้นไป",bangkok,ผิวผสม,"สิวอักเสบ, สิวอุดตัน, รูขุมขนกว้าง, ผิวหมองคล้ำ",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกด้วยตนเอง, เลือกตามเพื่อน, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง",เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว,เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,ใช้,cleansing water,Cleansing water,สูตรผิวแพ้ง่าย,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,"เห็นคนใช้จริงรีวิว (online review, real users), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (skin expert/dermatologist), มีไซส์เล็ก/ไซส์ทดลอง/ไซส์พกพา (mini size)",dermavie,dermavie,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,3,1.0,2,0,1,combination,3
2022-08-31 18:28:55,0,23-28 ปี,แม่บ้าน,"ต่ำกว่า 10,000 บาท",ระยอง,ผิวผสม,ผิวหมองคล้ำ,"นานๆทีเป็นสิว เช่น มีสิวเฉพาะช่วงมีประจำเดือน, พักผ่อนน้อย",เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ,ใช้,cleansing water,Cleansing water,สูตรคุมมัน (สำหรับผิวมัน),1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,เลือกเพราะโปรโมชั่น (promotion),veloura,veloura,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,,1,1,1,combination,3
2022-08-31 18:30:40,0,18-22 ปี,พนักงานบริษัทเอกชน,"15,000 - 19,999 บาท",ฉะเชิงเทรา,ผิวมัน,"สิวอักเสบ, สิวอุดตัน, สิวผด, ผิวแพ้ง่าย, รูขุมขนกว้าง, ผิวแห้ง/ลอก/เป็นขุย, ผิวมันเยิ้ม, ผิวหมองคล้ำ",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกด้วยตนเอง, เลือกตามเพื่อน","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว",ใช้,cleansing water,Cleansing water,"สูตรลดสิว, สูตรลดสิว-ผิวแพ้ง่าย, สูตรผิวแพ้ง่าย",1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.6666666666666666,1.0,0.75,ไม่เคยเปลี่ยนแบรนด์เลย (no switching),"veloura, kiyora",veloura,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,6,1.0,1,0,1,oily,1
2022-08-31 18:35:10,0,29-34 ปี,ธุรกิจส่วนตัว,"40,000 บาท ขึ้นไป",bangkok,ผิวขาดน้ำ,"สิวอักเสบ, สิวอุดตัน, รูขุมขนกว้าง, ผิวหมองคล้ำ, uneven skintone",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกด้วยตนเอง, เลือกตามเพื่อน, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ",ใช้,"cleansing water, cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง), cleansing oil, cleansing balm",Cleansing water,"สูตรลดสิว, สูตรผิวแพ้ง่าย",1.0,0.75,0.0,1.0,0.5,1.0,0.9999999999999999,0.33333333333333337,0.5,0.75,"เพื่อนแนะนำ (friend recommended), บิวตี้บลอกเกอร์แนะนำ (beauty bloggers), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (skin expert/dermatologist)","dermavie, ของหมอ",dermavie,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,3,1.0,2,0,4,dry,2
2022-08-31 18:42:27,0,29-34 ปี,พนักงานบริษัทเอกชน,"40,000 บาท ขึ้นไป",bangkok,ผิวมัน,"สิวอักเสบ, สิวอุดตัน, ผิวแพ้ง่าย, รูขุมขนกว้าง",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),เลือกด้วยตนเอง,เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,ใช้,cleansing water,Cleansing water,"สูตรลดสิว-ผิวแพ้ง่าย, สูตรคุมมัน (สำหรับผิวมัน)",1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.6666666666666666,1.0,1.0,"ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (skin expert/dermatologist), มีไซส์เล็ก/ไซส์ทดลอง/ไซส์พกพา (mini size)","veloura, kiyora, bellevia, dermavie",dermavie,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,3,1.0,0,0,1,oily,1
2022-08-31 18:48:05,0,29-34 ปี,พนักงานบริษัทเอกชน,"40,000 บาท ขึ้นไป",bangkok,ผิวผสม,"สิวอักเสบ, สิวผด, ผิวแพ้ง่าย",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),เลือกด้วยตนเอง,"เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้",ใช้,cleansing water,Cleansing water,สูตรลดสิว-ผิวแพ้ง่าย,0.5,1.0,1.0,1.0,0.5,0.5,0.0,0.33333333333333337,0.5,0.75,"ราคาถูกกว่า (cheaper price), ยี่ห้อเดิมที่ใช้อยู่หมด/หาซื้อไม่ได้ (current brand is out of stock)",dermacerin,dermacerin,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1.0,0,1,1,combination,3
2022-08-31 20:07:10,0,23-28 ปี,ธุรกิจส่วนตัว,"10,001 - 14,999 บาท",bangkok,ผิวแห้ง,"สิวอุดตัน, สิวผด, รูขุมขนกว้าง, ผิวหมองคล้ำ",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง,เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว,เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว,ใช้,cleansing oil,Cleansing oil,"สูตรลดสิว, สูตรผิวแพ้ง่าย",1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,"ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (skin expert/dermatologist), สินค้าออกใหม่/สูตรใหม่ (new product/new formula)","dermavie, molochio",molochio,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,1.0,1,0,1,dry,2
